motion_state,axdt_sum,aydt_sum,azdt_sum,gxdt_sum,gydt_sum,gzdt_sum,adt_sum,gdt_sum,axdt_var,aydt_var,azdt_var,gxdt_var,gydt_var,gzdt_var,adt_var,gdt_var,axdt_min,aydt_min,azdt_min,gxdt_min,gydt_min,gzdt_min,adt_min,gdt_min,axdt_max,aydt_max,azdt_max,gxdt_max,gydt_max,gzdt_max,adt_max,gdt_max
straight,0.20884400383860338,0.07849532232416095,9.49333727836609,-0.0016753265698207544,0.0011018492931907532,-0.0011756794976827223,9.498791827601499,0.00851494762532265,4.194915334741664e-06,1.4999294310804065e-06,6.471614759543905e-06,3.8561386693761585e-09,2.467972659802029e-09,1.9582510397358403e-09,6.387231676605947e-06,1.0764646240403165e-09,-0.0011627145856618881,-0.0015414758026599884,0.09373408317565918,-0.0001455055084079504,-0.00012484517879784106,-0.00012481587938964367,0.09378517786172183,2.61791777934184e-05,0.0056999802589416506,0.0029762110114097597,0.10177766799926757,0.00011922865174710751,0.00011498121544718742,0.00010267934761941433,0.10178528725274472,0.00017116045608539496
straight,0.21193520471453667,0.08648502940195613,9.794425630569458,-0.0019773471138614693,0.00037000610602262897,-0.0004619773117133264,9.79990178477927,0.008412641616525444,4.140284283098546e-06,1.3423854992940147e-06,6.562528195860351e-06,3.463234245844819e-09,2.7699628769367014e-09,1.7850132339839902e-09,6.499201285736222e-06,1.2997952250112037e-09,-0.0013436244428157806,-0.0011979859322309495,0.09395844459533692,-0.00015161133371293544,-0.00011701220646500588,-0.00010687929578125477,0.09401038741233232,1.4626090827371667e-05,0.005566364526748658,0.002929523289203644,0.10162151336669922,0.00013745027594268323,0.00013145838864147663,9.017047472298145e-05,0.10163353941841835,0.00016747664860069768
rest,0.2142892499268055,0.0836709403723944,9.786784400939942,-0.0017401221673208056,0.0007934654633208993,-0.0016616357558450546,9.792245291099139,0.009893447870583045,4.322128591927702e-06,1.0987745517784843e-06,7.150276203716385e-06,3.881252887965837e-09,3.281482449594733e-09,3.87047890508373e-09,7.116813521677237e-06,1.7946622442445943e-09,-0.0014967772364616395,-0.0011432389914989472,0.09348687171936035,-0.00016059400513768196,-0.0001480505708605051,-0.00017560949549078942,0.09351255982435011,9.628215151880398e-06,0.005700861811637878,0.0029255381226539613,0.10197086334228515,0.00011042866855859757,0.00019088760018348694,0.00018108569085597992,0.10198175537680132,0.00021856563765142165
rest,0.2183940261346288,0.0838377660018159,9.791270580291748,-0.0022182867249830453,0.0012966009590309113,-0.0014830821995042243,9.796758634396568,0.009319265210829042,4.232772376036311e-06,1.0562238275899623e-06,8.017444396583739e-06,3.4398000506796654e-09,3.3094958568287115e-09,2.68182452328264e-09,7.975587824702934e-06,1.5475647521964415e-09,-0.001240064650774002,-0.0011586784571409226,0.09344075202941894,-0.00017480608075857163,-0.0001209044549614191,-0.00016021210700273514,0.09346131344106687,1.7199391484619298e-05,0.005728325843811035,0.0029979938268661498,0.10233181953430176,0.00010142780840396881,0.00017894813790917397,0.00010181025601923466,0.1023617005000924,0.00020629497513297522
straight,0.2228999675437808,0.2597580447571818,9.795122423171998,-5.9438901371322616e-05,0.0011484163365003042,-0.0017394673785747728,9.80657436611613,0.009778454113515573,3.299804222487388e-06,7.547080229634788e-06,5.816761091989032e-06,5.623301358286284e-09,2.4784340416710516e-09,2.7388511703695954e-09,5.823355049967144e-06,1.621392123451493e-09,-0.0018555326759815216,-0.00165871798992157,0.09379500389099121,-0.00014583267271518709,-0.0001037489902228117,-0.00012937887571752072,0.09381796032759734,3.249521021679034e-05,0.005977572202682495,0.01063226580619812,0.10212265014648438,0.000206550732254982,0.00012567336671054363,0.0001297816913574934,0.10216569587011325,0.00021268573785302626
turn,0.27957634499296546,0.4549807295203209,9.781857461929322,-0.0008657107060059844,0.0005258122850864311,-0.03340712641831488,9.797933807912452,0.03469926552674384,2.031837773782492e-06,8.988270628402543e-07,1.9220333689042935e-06,3.959496517984931e-09,3.0418145153197597e-09,2.468908796410603e-08,1.8626879209842936e-06,2.2904843544828822e-08,-0.0008029865473508835,0.0027633020281791687,0.09507282257080078,-0.00021284759044647218,-0.00010170402936637401,-0.0006174776330590249,0.09524690182198832,8.56139161749892e-05,0.005885671377182007,0.007167516350746155,0.10034568786621094,0.00014053553342819214,0.00012962589040398597,-5.9864637441933156e-05,0.10043689379006569,0.0006317055159652186
turn,0.2962723505310714,0.39310584366321566,9.78406844139099,-0.0016724180919482025,0.00104813267598729,-0.07788187365978956,9.79845768395537,0.07836070662677032,2.998085005111887e-06,9.226076796540451e-07,2.459681168594821e-06,3.913053847662846e-09,2.926914776915978e-09,1.6571607652845444e-08,2.393686133207138e-06,1.624808800403082e-08,-0.0021374188363552094,0.0016235698759555818,0.09477747917175293,-0.00021052693948149683,-0.00011270780116319657,-0.0010176004469394683,0.0949153241671613,0.0004771108064775491,0.008110665678977967,0.006125535368919373,0.10100711822509766,0.0001142117939889431,0.0001423850003629923,-0.0004530541971325874,0.10109114452633103,0.0010253954703220763
turn,0.32228312649764124,0.5098505841195583,9.788042631149292,-0.002166798147300142,0.002402513978886418,-0.10864240616559982,9.809510613075606,0.10904955795927819,3.6330009058413875e-06,2.0795831948735715e-06,1.93275366086681e-06,4.100358411639913e-09,3.794911290743595e-09,4.554314679324454e-09,1.8972683580638004e-06,4.553969630907583e-09,-0.001088748574256897,0.0019988177716732027,0.09481513977050782,-0.0001768558844923973,-0.00012538954615592957,-0.0012558987736701966,0.09507906478064118,0.0009569170790988907,0.007409818172454834,0.008777241110801698,0.10114349365234375,0.0001475875172764063,0.00018948525190353393,-0.0009528349339962005,0.10129885550883556,0.0012594063083907522
straight,0.11083180695830379,1.0468888956308364,9.786078691482544,-0.0037923958311148454,0.006441624756844249,-0.041296998461475595,9.847549075428498,0.05692870621297652,5.453741089292503e-06,4.547430658944208e-06,3.2020280260841843e-06,5.13538317259085e-09,4.274030771891234e-09,2.5536554069576447e-07,3.2409181727904275e-06,1.1532457953838546e-07,-0.0036603069305419923,0.006135495901107789,0.09409330368041992,-0.0002073800563812256,-0.00014950407668948173,-0.0011644507944583893,0.09472279613837983,5.981339321575033e-05,0.008161613941192627,0.014709239006042481,0.10304454803466798,0.00011868400499224662,0.00022239446640014648,0.0004562093317508698,0.10366231402574738,0.0011708534531569598
turn,-0.14796247724676503,1.188017115443945,9.774115400314331,0.003557239172660047,-0.002793420743992101,0.07773255227133631,9.876904967844844,0.08346758131835873,3.819440775296888e-05,2.1222645030406466e-05,6.214270033184547e-06,1.3737238982791958e-08,9.004311092631618e-08,1.5955122220189357e-07,6.374522421041734e-06,1.7201538033965568e-07,-0.016985286474227906,-0.0019033908843994142,0.09291868209838867,-0.0002656817249953747,-0.0006817233562469482,0.0003052723966538906,0.09402819629119098,0.0003268376358279893,0.007736448645591736,0.022199888229370118,0.10364380836486817,0.00032871920615434646,0.0005284309014678001,0.001504826843738556,0.10454098830640689,0.00157479934570532
